merchant_id,creation_date,name,street,state,city,country,contact_number
MERCHANT00001,2020-01-01 09:44:43,PEV4me.com,99419 Underpass berg,Alabama,Houston,North Macedonia,727-055-7261
MERCHANT00002,2020-01-01 11:26:28,The Vanguard Group,4584 Port Locks ville,Indiana,Laredo,Sudan,758-630-7747
MERCHANT00003,2020-01-01 18:07:43,STILLWATER SUPERCOMPUTING INC,935 Corner land,Washington,Toledo,Belgium,920-578-9054
MERCHANT00004,2020-01-01 18:33:15,"Lumesis, Inc.",991 Wall town,Alabama,Arlington,Comoros,728-682-3471
MERCHANT00005,2020-01-02 12:23:47,(Leg)Cyte,779 Coves mouth,Utah,Boise,Maldives,433-907-1910
MERCHANT00006,2020-01-02 13:31:40,FlightAware,383 New Orchard berg,North Carolina,Lexington-Fayette,Greenland,1-371-338-8758
MERCHANT00007,2020-01-02 20:37:12,CAN Capital,31179 South Ridges mouth,South Carolina,Milwaukee,Virgin Islands (British),1-899-970-3074
MERCHANT00008,2020-01-02 21:19:19,Experian,4983 Squares chester,North Carolina,Orlando,Jordan,1-012-315-3975
MERCHANT00009,2020-01-03 02:46:56,Allianz,57960 East Lake fort,Kentucky,Buffalo,Australia,178-116-3450
MERCHANT00010,2020-01-03 11:02:17,KLD Research,1573 North Unions chester,Oklahoma,Sacramento,Turkey,693-461-6949
MERCHANT00011,2020-01-03 18:09:25,Bloomberg,5570 South Ports land,Idaho,Garland,Tokelau,468-245-4082
MERCHANT00012,2020-01-03 18:10:01,"Qado Energy, Inc.",912 Stream stad,Idaho,El Paso,Norfolk Island,736-502-6976
MERCHANT00013,2020-01-03 22:21:44,Credit Karma,811 North Gateway land,Illinois,Lincoln,Morocco,400-425-1935
MERCHANT00014,2020-01-03 23:25:24,PeerJ,948 Shores berg,Wyoming,Birmingham,Maldives,100-193-3351
MERCHANT00015,2020-01-03 23:55:15,Zurich Insurance (Risk Room),389 Squares mouth,Ohio,Chicago,Grenada,1-008-934-4692
MERCHANT00016,2020-01-04 04:22:22,Weather Channel,2903 Brooks ton,Maryland,Pittsburgh,Northern Mariana Islands,264-666-3348
MERCHANT00017,2020-01-04 08:33:16,SnapSense,3932 East Unions furt,Pennsylvania,Charlotte,Guatemala,369-576-5254
MERCHANT00018,2020-01-04 13:03:13,Kyruus,574 Field ton,Indiana,Norfolk,Bouvet Island,1-623-237-0205
MERCHANT00019,2020-01-04 15:15:10,Development Seed,52406 Pike stad,New Mexico,Buffalo,Norfolk Island,1-989-173-1079
MERCHANT00020,2020-01-04 18:29:26,Sage Bionetworks,986 West Curve stad,Texas,Scottsdale,Czechia,1-434-083-5435
MERCHANT00021,2020-01-04 23:15:34,Wolters Kluwer,5494 Pass town,Maine,Colorado Springs,Honduras,1-955-477-8362
MERCHANT00022,2020-01-05 06:30:12,Granicus,940 Viaduct view,New York,El Paso,Albania,1-526-174-0686
MERCHANT00023,2020-01-05 08:12:38,Ez-XBRL,771 North Motorway ton,Michigan,Nashville-Davidson,Chad,446-855-6426
MERCHANT00024,2020-01-05 10:57:53,Honest Buildings,3933 Skyway side,Mississippi,Chandler,Netherlands,193-227-5303
MERCHANT00025,2020-01-05 13:18:51,"HDScores, Inc",36149 New Summit fort,Oklahoma,Lincoln,Burkina Faso,1-628-507-0781
MERCHANT00026,2020-01-05 21:47:22,Acxiom,3238 South Gateway town,Hawaii,Tucson,Monaco,299-031-5823
MERCHANT00027,2020-01-06 09:52:38,Archimedes Inc.,5170 Forks haven,Illinois,El Paso,Iceland,269-413-7146
MERCHANT00028,2020-01-06 18:18:53,LegiStorm,4279 Common ville,West Virginia,Oakland,Macao,283-510-7307
MERCHANT00029,2020-01-07 01:28:24,Aquicore,565 East Stravenue land,Maine,New York City,Uruguay,852-225-3888
MERCHANT00030,2020-01-07 04:37:29,Factset,3129 New Court stad,Wisconsin,Henderson,British Indian Ocean Territory,1-619-206-2395
MERCHANT00031,2020-01-07 10:33:53,"LegiNation, Inc.",83630 Summit ton,Texas,Reno,Bahrain,628-190-6439
MERCHANT00032,2020-01-08 12:31:20,"Personal, Inc.",9030 West Loaf mouth,Idaho,San Bernardino,Faroe Islands,1-138-928-7157
MERCHANT00033,2020-01-08 14:55:20,FarmLogs,99026 Fall berg,Oklahoma,Detroit,Panama,766-233-2448
MERCHANT00034,2020-01-08 21:06:07,PlotWatt,605 North Throughway land,Kansas,Chandler,"Palestine, State of",1-291-683-1449
MERCHANT00035,2020-01-09 04:08:29,AtSite,3713 West Via borough,West Virginia,Indianapolis,Gabon,725-849-8164
MERCHANT00036,2020-01-09 06:30:00,Webitects,177 North Trafficway ton,Wisconsin,Tucson,Malawi,129-784-1037
MERCHANT00037,2020-01-09 07:50:53,"Qado Energy, Inc.",649 Drives borough,Oklahoma,Aurora,Ukraine,401-346-5362
MERCHANT00038,2020-01-09 15:41:57,Factual,9745 Ridges ton,Nebraska,Birmingham,Saudi Arabia,1-356-353-0534
MERCHANT00039,2020-01-09 23:59:52,Cambridge Information Group,19905 Lake Spring town,Georgia,El Paso,"Moldova, Republic of",330-311-0543
MERCHANT00040,2020-01-10 00:27:55,Whitby Group,152 South Plains land,Oklahoma,Virginia Beach,Lebanon,751-982-5865
MERCHANT00041,2020-01-10 06:15:00,Nautilytics,299 West Grove fort,Colorado,Milwaukee,Virgin Islands (U.S.),839-968-5156
MERCHANT00042,2020-01-10 07:20:44,CONNECT-DOT LLC.,211 Mountains furt,Arizona,Irving,Germany,683-761-1854
MERCHANT00043,2020-01-10 19:49:54,Environmental Data Resources,40168 Inlet haven,West Virginia,Fremont,Tokelau,453-929-3677
MERCHANT00044,2020-01-11 00:12:39,SpotHero.com,184 Cove berg,Louisiana,Garland,Benin,344-513-9927
MERCHANT00045,2020-01-11 01:11:35,mHealthCoach,67489 Locks haven,Idaho,Cleveland,Niger,995-559-3725
MERCHANT00046,2020-01-11 03:53:24,SmartProcure,498 Row mouth,Idaho,Wichita,Ethiopia,935-464-2869
MERCHANT00047,2020-01-11 09:43:41,Votizen,3400 Port Cliffs fort,Colorado,Fremont,Sudan,1-009-805-1357
MERCHANT00048,2020-01-11 14:47:08,Level One Technologies,869 Square view,Montana,Winston-Salem,Chile,1-128-883-2360
MERCHANT00049,2020-01-11 15:13:29,ClearHealthCosts,17093 Estates port,Illinois,Arlington,Serbia,476-559-5793
MERCHANT00050,2020-01-11 19:41:56,CrowdANALYTIX,8532 Squares town,Iowa,Kansas,Peru,518-365-6538
MERCHANT00051,2020-01-12 05:55:21,"Calcbench, Inc.",631 East Summit haven,Texas,St. Petersburg,United States of America,339-197-7268
MERCHANT00052,2020-01-12 09:59:17,Yahoo,820 South Highway bury,Florida,St. Petersburg,Bouvet Island,1-683-445-0280
MERCHANT00053,2020-01-12 13:12:37,Redfin,40869 South Cove view,Kansas,Honolulu,Niue,1-081-817-7292
MERCHANT00054,2020-01-12 16:07:14,Charles Schwab Corp.,628 Turnpike ton,Maine,Fort Worth,Estonia,523-903-9820
MERCHANT00055,2020-01-13 02:18:52,Kaiser Permanante,65783 North Skyway borough,Texas,Garland,Malta,868-636-9487
MERCHANT00056,2020-01-13 05:13:10,Vimo,95707 Radial chester,Virginia,Jacksonville,Saudi Arabia,655-106-8411
MERCHANT00057,2020-01-13 06:38:08,Maponics,774 Extension shire,Oklahoma,Chandler,Antigua and Barbuda,544-857-3216
MERCHANT00058,2020-01-13 14:00:47,Brightscope,336 East Divide bury,Louisiana,Chula Vista,Poland,1-764-567-7941
MERCHANT00059,2020-01-13 17:05:09,Connotate,5020 West Ramp fort,Louisiana,Long Beach,Wallis and Futuna,1-137-821-3883
MERCHANT00060,2020-01-13 20:44:26,First Fuel Software,500 Hills mouth,Arkansas,Durham,Japan,608-101-0457
MERCHANT00061,2020-01-14 01:13:55,BizVizz,6754 View fort,Minnesota,Baltimore,Tonga,338-972-0038
MERCHANT00062,2020-01-14 04:16:20,Fastcase,506 Lake Forges haven,Rhode Island,Orlando,Seychelles,727-378-6387
MERCHANT00063,2020-01-14 06:07:13,"College Abacus, an ECMC initiative",2513 Port Throughway shire,Rhode Island,Wichita,Comoros,356-486-8312
MERCHANT00064,2020-01-14 12:13:25,AtSite,187 Tunnel ville,Alabama,Garland,Norfolk Island,124-571-4002
MERCHANT00065,2020-01-14 15:51:49,"Fuzion Apps, Inc.",83360 Station land,Alabama,Philadelphia,Tuvalu,445-827-9523
MERCHANT00066,2020-01-14 16:14:29,Deloitte,45044 West Trail furt,Vermont,San Antonio,Malaysia,907-693-3751
MERCHANT00067,2020-01-14 19:26:14,Charles Schwab Corp.,42931 Trail haven,Utah,Wichita,"Saint Helena, Ascension and Tristan da Cunha",678-075-8211
MERCHANT00068,2020-01-15 02:40:42,AutoGrid Systems,4993 Port Centers shire,Connecticut,Omaha,Malta,951-557-1585
MERCHANT00069,2020-01-15 23:32:12,FlightStats,667 Drive haven,Massachusetts,Long Beach,Malta,604-113-2168
MERCHANT00070,2020-01-16 01:38:27,HERE,41174 Estates ville,Washington,San Bernardino,Slovakia,819-652-9563
MERCHANT00071,2020-01-16 13:00:27,Science Exchange,901 East Ranch stad,West Virginia,Omaha,Luxembourg,286-250-0040
MERCHANT00072,2020-01-16 22:34:34,nGAP Incorporated,33290 Fort burgh,Ohio,Orlando,Antigua and Barbuda,1-318-499-0775
MERCHANT00073,2020-01-17 01:59:23,KLD Research,544 Square burgh,North Carolina,Virginia Beach,Comoros,1-043-453-4201
MERCHANT00074,2020-01-17 13:36:13,Peterson's,324 West Lights burgh,North Carolina,Chesapeake,Montserrat,290-758-5589
MERCHANT00075,2020-01-17 18:44:16,Energy Solutions Forum,1361 New Station view,Michigan,Santa Ana,Mauritius,1-793-605-2127
MERCHANT00076,2020-01-17 20:52:23,McGraw Hill Financial,2136 North Gateway ton,Alaska,Birmingham,"Palestine, State of",1-770-754-5413
MERCHANT00077,2020-01-17 22:37:32,SAS,69762 Parks view,Texas,Birmingham,Mongolia,416-599-8166
MERCHANT00078,2020-01-18 12:39:24,ProgrammableWeb,1446 Dam ton,Vermont,Winston-Salem,Gibraltar,830-080-2155
MERCHANT00079,2020-01-18 23:59:01,Recargo,56603 Lake Plains furt,Minnesota,Bakersfield,Switzerland,878-314-2421
MERCHANT00080,2020-01-19 01:46:24,PlotWatt,74782 Rest ton,Ohio,Los Angeles,Equatorial Guinea,191-435-4394
MERCHANT00081,2020-01-19 10:16:54,"Expert Health Data Programming, Inc.",291 Port Point stad,Florida,Detroit,French Southern Territories,1-266-468-9711
MERCHANT00082,2020-01-20 09:39:20,Spokeo,335 Manors borough,Virginia,Chesapeake,Latvia,943-737-0398
MERCHANT00083,2020-01-20 14:34:42,Level One Technologies,6233 East Ferry burgh,Utah,Madison,Wallis and Futuna,192-747-1624
MERCHANT00084,2020-01-20 15:42:55,Boundless,5339 Freeway side,Delaware,Omaha,Montserrat,898-374-1224
MERCHANT00085,2020-01-20 17:10:38,LegiStorm,986 Lake Ridge land,Missouri,Boston,"Korea, Republic of",416-436-0686
MERCHANT00086,2020-01-20 18:24:33,MapQuest,921 Route town,Tennessee,North Las Vegas,Isle of Man,1-364-391-3616
MERCHANT00087,2020-01-21 00:33:04,IW Financial,62347 Squares chester,South Carolina,Chesapeake,Switzerland,1-036-643-5604
MERCHANT00088,2020-01-21 09:12:35,iMedicare,80884 East Circle borough,Illinois,Reno,Jersey,1-266-674-1484
MERCHANT00089,2020-01-21 15:13:12,Innography,818 Gateway bury,Ohio,Winston-Salem,Isle of Man,240-044-5653
